city,district,neighborhood,number_of_rooms,area_sqm,building_age,price,property_type,floor,number_of_bathrooms
Ankara,Yenimahalle,Merkez,4+1,97,10,1870000,Rezidans,2,2
İstanbul,Beşiktaş,Güzeltepe,4+1,125,10,2130000,Daire,4,2
İzmir,Bornova,Bahçelievler,4+1,165,20,3165000,Daire,2,2
İzmir,Karşıyaka,Merkez,1+1,92,44,1543000,Müstakil,4,1
Ankara,Çankaya,Merkez,4+1,103,26,1559000,Villa,Zemin,1
Ankara,Yenimahalle,Güzeltepe,1+1,110,37,1296000,Villa,Çatı,3
İstanbul,Kadıköy,Yeşilbahçe,3+1,86,25,1420000,Daire,Zemin,1
İstanbul,Beşiktaş,Güzeltepe,4+1,60,17,988000,Müstakil,1,2
İstanbul,Bakırköy,Merkez,3+1,107,43,1675000,Müstakil,2,2
İzmir,Karşıyaka,Merkez,1+1,93,35,1610000,Daire,3,3
İstanbul,Kadıköy,Güzeltepe,1+1,116,7,2260000,Villa,2,1
İstanbul,Beşiktaş,Bahçelievler,2+1,124,21,2021000,Rezidans,5,3
İzmir,Konak,Güzeltepe,5+1,131,24,2533000,Rezidans,Çatı,2
İzmir,Konak,Merkez,2+1,112,45,1269000,Villa,Zemin,1
İzmir,Buca,Merkez,3+1,125,1,2162000,Rezidans,4,2
İstanbul,Bakırköy,Merkez,2+1,114,40,2161000,Rezidans,1,2
İzmir,Buca,Merkez,3+1,42,34,755000,Müstakil,4,1
İstanbul,Kadıköy,Yeşilbahçe,4+1,121,49,2048000,Müstakil,1,3
İzmir,Karşıyaka,Altıntepe,3+1,104,40,1581000,Villa,5,2
İstanbul,Beşiktaş,Altıntepe,1+1,77,34,1312000,Müstakil,2,2
Ankara,Keçiören,Güzeltepe,5+1,156,23,2850000,Müstakil,1,1
Ankara,Yenimahalle,Merkez,2+1,162,17,2863000,Daire,Çatı,3
Ankara,Yenimahalle,Altıntepe,1+1,62,45,773000,Rezidans,5,1
İzmir,Bornova,Altıntepe,4+1,104,38,1529000,Rezidans,Çatı,3
İzmir,Buca,Güzeltepe,4+1,129,45,1996000,Daire,Zemin,2
İzmir,Konak,Güzeltepe,3+1,105,42,1733000,Daire,2,1
Ankara,Yenimahalle,Yeşilbahçe,2+1,145,1,2768000,Müstakil,1,1
İstanbul,Üsküdar,Bahçelievler,4+1,72,25,1153000,Müstakil,4,2
İzmir,Konak,Bahçelievler,5+1,62,6,1128000,Müstakil,3,2
İstanbul,Bakırköy,Güzeltepe,5+1,142,5,2859000,Müstakil,Çatı,1
Ankara,Keçiören,Merkez,3+1,104,23,1976000,Rezidans,4,1
İstanbul,Kadıköy,Yeşilbahçe,5+1,83,39,1525000,Villa,1,3
İstanbul,Kadıköy,Güzeltepe,3+1,70,49,1129000,Villa,2,1
İstanbul,Bakırköy,Merkez,1+1,125,0,2564000,Rezidans,Çatı,1
Ankara,Keçiören,Yeşilbahçe,4+1,125,48,1374000,Villa,4,2
İstanbul,Kadıköy,Güzeltepe,1+1,93,20,1940000,Daire,Zemin,1
İstanbul,Bakırköy,Güzeltepe,1+1,82,12,1785000,Daire,4,2
Ankara,Yenimahalle,Bahçelievler,4+1,91,26,1528000,Müstakil,1,1
İstanbul,Kadıköy,Güzeltepe,4+1,96,40,1526000,Müstakil,5,2
İzmir,Bornova,Güzeltepe,2+1,108,16,2259000,Müstakil,5,1
İzmir,Konak,Yeşilbahçe,3+1,112,48,1273000,Rezidans,Çatı,3
İzmir,Buca,Merkez,3+1,81,31,1278000,Villa,2,1
İstanbul,Kadıköy,Altıntepe,1+1,164,44,2698000,Villa,2,2
İzmir,Buca,Yeşilbahçe,3+1,150,48,2081000,Daire,4,3
İstanbul,Beşiktaş,Güzeltepe,1+1,111,28,1663000,Villa,2,1
İzmir,Karşıyaka,Yeşilbahçe,5+1,75,0,1668000,Villa,4,1
İstanbul,Üsküdar,Altıntepe,5+1,63,49,953000,Villa,Zemin,2
İstanbul,Bakırköy,Bahçelievler,2+1,96,17,2031000,Villa,4,1
Ankara,Keçiören,Güzeltepe,1+1,131,1,2433000,Daire,5,2
Ankara,Çankaya,Merkez,2+1,116,23,2175000,Müstakil,3,2
İstanbul,Üsküdar,Yeşilbahçe,3+1,148,32,2252000,Müstakil,2,2
Ankara,Keçiören,Bahçelievler,5+1,123,3,2381000,Daire,Çatı,3
Ankara,Keçiören,Altıntepe,2+1,133,3,3139000,Rezidans,2,2
İzmir,Bornova,Altıntepe,4+1,108,35,1690000,Rezidans,Zemin,3
İzmir,Buca,Altıntepe,4+1,54,21,1170000,Rezidans,Zemin,2
İstanbul,Bakırköy,Yeşilbahçe,2+1,109,2,2669000,Villa,3,2
İstanbul,Beşiktaş,Bahçelievler,3+1,107,43,1312000,Villa,4,2
İstanbul,Beşiktaş,Yeşilbahçe,4+1,99,21,2017000,Müstakil,1,1
Ankara,Etimesgut,Altıntepe,4+1,128,38,2121000,Daire,2,2
İstanbul,Kadıköy,Bahçelievler,5+1,68,29,845000,Villa,5,3
İstanbul,Kadıköy,Bahçelievler,2+1,41,26,707000,Daire,Zemin,3
Ankara,Etimesgut,Yeşilbahçe,5+1,134,4,2358000,Rezidans,2,2
İstanbul,Üsküdar,Merkez,2+1,62,13,1331000,Müstakil,4,2
İzmir,Buca,Yeşilbahçe,3+1,117,33,1616000,Müstakil,Çatı,3
İstanbul,Üsküdar,Altıntepe,2+1,127,38,1493000,Villa,Çatı,3
Ankara,Çankaya,Merkez,4+1,131,38,1931000,Rezidans,Çatı,3
Ankara,Etimesgut,Güzeltepe,3+1,163,34,3212000,Rezidans,5,1
İstanbul,Kadıköy,Merkez,1+1,67,11,1325000,Daire,2,2
İstanbul,Kadıköy,Yeşilbahçe,4+1,109,33,1714000,Rezidans,1,2
Ankara,Yenimahalle,Yeşilbahçe,3+1,86,12,1715000,Villa,1,1
Ankara,Yenimahalle,Merkez,4+1,90,9,1534000,Müstakil,1,3
İzmir,Buca,Güzeltepe,2+1,115,17,1934000,Villa,5,3
İzmir,Buca,Bahçelievler,1+1,77,14,1437000,Villa,Zemin,2
Ankara,Etimesgut,Merkez,1+1,77,31,1293000,Villa,2,3
İstanbul,Üsküdar,Altıntepe,2+1,143,29,2428000,Villa,1,2
Ankara,Etimesgut,Bahçelievler,5+1,83,35,1590000,Müstakil,Zemin,1
İstanbul,Kadıköy,Altıntepe,2+1,175,44,3084000,Daire,2,3
İzmir,Bornova,Bahçelievler,1+1,94,43,1566000,Müstakil,5,2
İstanbul,Kadıköy,Altıntepe,1+1,125,16,2238000,Rezidans,2,1
Ankara,Etimesgut,Merkez,5+1,143,27,2042000,Villa,4,2
İzmir,Buca,Altıntepe,5+1,73,7,1297000,Daire,4,1
İstanbul,Kadıköy,Altıntepe,2+1,121,10,2628000,Daire,5,2
İzmir,Konak,Yeşilbahçe,1+1,91,3,2192000,Daire,Çatı,2
İzmir,Konak,Güzeltepe,4+1,73,47,846000,Villa,3,3
İstanbul,Üsküdar,Yeşilbahçe,5+1,121,42,1606000,Müstakil,4,3
İstanbul,Üsküdar,Yeşilbahçe,3+1,74,24,1059000,Daire,5,1
İzmir,Bornova,Güzeltepe,1+1,60,47,872000,Daire,Çatı,3
Ankara,Çankaya,Güzeltepe,3+1,95,16,1989000,Daire,3,1
İstanbul,Bakırköy,Altıntepe,2+1,96,5,1781000,Daire,2,3
İzmir,Buca,Merkez,1+1,84,17,1584000,Müstakil,1,1
İstanbul,Kadıköy,Güzeltepe,5+1,104,17,2124000,Daire,2,2
Ankara,Çankaya,Altıntepe,2+1,75,28,1447000,Daire,Çatı,2
İzmir,Konak,Merkez,1+1,73,20,1062000,Rezidans,Zemin,3
İzmir,Buca,Altıntepe,2+1,117,2,2527000,Daire,1,2
Ankara,Çankaya,Altıntepe,2+1,83,34,1192000,Müstakil,4,3
Ankara,Yenimahalle,Bahçelievler,3+1,88,40,1051000,Rezidans,Çatı,3
Ankara,Etimesgut,Merkez,1+1,137,21,2362000,Daire,Zemin,2
İzmir,Konak,Bahçelievler,1+1,104,1,2580000,Daire,Çatı,3
Ankara,Keçiören,Merkez,4+1,72,40,1283000,Daire,Zemin,2
Ankara,Keçiören,Merkez,3+1,92,30,1670000,Daire,Zemin,3
İstanbul,Üsküdar,Bahçelievler,1+1,145,20,2790000,Villa,1,2
İzmir,Buca,Merkez,4+1,100,44,1452000,Villa,Zemin,1
İzmir,Konak,Bahçelievler,3+1,83,45,1052000,Villa,Zemin,2
Ankara,Yenimahalle,Bahçelievler,2+1,40,2,901000,Rezidans,1,2
İstanbul,Üsküdar,Altıntepe,3+1,79,21,1145000,Villa,Çatı,3
İzmir,Karşıyaka,Güzeltepe,5+1,119,33,2114000,Villa,3,1
İzmir,Karşıyaka,Bahçelievler,4+1,133,6,3047000,Müstakil,4,2
İzmir,Karşıyaka,Merkez,5+1,87,5,1279000,Villa,3,3
Ankara,Keçiören,Altıntepe,2+1,73,29,1073000,Müstakil,5,3
İzmir,Buca,Merkez,1+1,118,29,1470000,Villa,1,1
İzmir,Konak,Güzeltepe,1+1,91,19,1872000,Villa,1,1
İzmir,Buca,Merkez,4+1,39,43,660000,Villa,1,1
İzmir,Buca,Merkez,2+1,59,18,1196000,Müstakil,1,2
İzmir,Buca,Güzeltepe,5+1,74,15,1060000,Rezidans,4,3
İstanbul,Bakırköy,Güzeltepe,5+1,99,41,1704000,Daire,Çatı,1
İzmir,Konak,Bahçelievler,2+1,101,46,1151000,Müstakil,1,3
Ankara,Yenimahalle,Merkez,4+1,79,21,1278000,Villa,Zemin,3
İstanbul,Beşiktaş,Güzeltepe,3+1,30,24,388000,Daire,2,2
Ankara,Keçiören,Yeşilbahçe,2+1,137,35,2600000,Daire,Zemin,2
İstanbul,Beşiktaş,Güzeltepe,5+1,95,38,1712000,Villa,4,3
Ankara,Etimesgut,Yeşilbahçe,1+1,98,10,1506000,Daire,Zemin,1
İzmir,Konak,Altıntepe,3+1,57,9,1237000,Daire,5,2
İstanbul,Bakırköy,Altıntepe,2+1,115,21,2010000,Müstakil,Çatı,2
İstanbul,Kadıköy,Bahçelievler,1+1,108,16,2152000,Müstakil,Zemin,1
İzmir,Konak,Yeşilbahçe,1+1,100,44,1707000,Daire,3,2
Ankara,Etimesgut,Altıntepe,3+1,105,19,1734000,Villa,Çatı,2
İzmir,Konak,Merkez,3+1,94,33,1166000,Müstakil,Zemin,2
İzmir,Bornova,Güzeltepe,4+1,37,0,835000,Daire,4,2
Ankara,Etimesgut,Bahçelievler,4+1,62,20,994000,Daire,3,3
İstanbul,Kadıköy,Bahçelievler,2+1,116,39,1694000,Daire,2,3
Ankara,Keçiören,Merkez,2+1,123,46,1742000,Villa,2,2
Ankara,Yenimahalle,Bahçelievler,5+1,126,27,1733000,Daire,5,2
İstanbul,Beşiktaş,Güzeltepe,4+1,99,9,1614000,Müstakil,3,1
İstanbul,Bakırköy,Altıntepe,4+1,86,0,1434000,Daire,4,3
İzmir,Bornova,Merkez,5+1,126,32,2197000,Villa,5,3
İzmir,Bornova,Merkez,2+1,83,5,1272000,Villa,5,1
Ankara,Yenimahalle,Merkez,5+1,52,15,907000,Müstakil,4,1
Ankara,Çankaya,Yeşilbahçe,3+1,83,19,1263000,Rezidans,4,1
Ankara,Çankaya,Altıntepe,5+1,108,48,1575000,Rezidans,3,1
İzmir,Bornova,Güzeltepe,2+1,132,23,2662000,Villa,1,2
Ankara,Çankaya,Merkez,3+1,75,27,1302000,Müstakil,Zemin,1
İzmir,Buca,Bahçelievler,2+1,96,3,1469000,Müstakil,5,3
Ankara,Etimesgut,Yeşilbahçe,3+1,148,45,2279000,Daire,1,1
Ankara,Etimesgut,Güzeltepe,2+1,83,0,1897000,Daire,2,3
Ankara,Keçiören,Bahçelievler,3+1,94,39,1682000,Villa,5,3
Ankara,Keçiören,Altıntepe,3+1,103,30,2037000,Müstakil,5,1
İzmir,Bornova,Güzeltepe,2+1,66,30,1323000,Villa,3,3
Ankara,Yenimahalle,Bahçelievler,4+1,66,8,1423000,Villa,2,1
İstanbul,Üsküdar,Güzeltepe,4+1,72,3,1393000,Villa,1,1
İstanbul,Üsküdar,Merkez,4+1,81,13,1438000,Daire,3,2
İstanbul,Kadıköy,Yeşilbahçe,5+1,115,45,1830000,Villa,4,1
İstanbul,Beşiktaş,Güzeltepe,5+1,61,6,1089000,Rezidans,Çatı,3
İzmir,Karşıyaka,Bahçelievler,1+1,106,15,1791000,Rezidans,2,2
Ankara,Etimesgut,Yeşilbahçe,5+1,87,7,1335000,Daire,Zemin,3
İzmir,Karşıyaka,Yeşilbahçe,5+1,118,22,2310000,Rezidans,1,1
Ankara,Etimesgut,Bahçelievler,1+1,106,29,1740000,Müstakil,4,1
İstanbul,Üsküdar,Merkez,3+1,90,7,1640000,Daire,4,2
Ankara,Yenimahalle,Yeşilbahçe,2+1,150,16,2330000,Daire,Zemin,2
İstanbul,Beşiktaş,Güzeltepe,1+1,107,49,1528000,Rezidans,Çatı,2
Ankara,Etimesgut,Yeşilbahçe,1+1,73,26,931000,Daire,4,3
İzmir,Bornova,Yeşilbahçe,4+1,109,36,1592000,Müstakil,4,1
İstanbul,Üsküdar,Yeşilbahçe,2+1,104,29,1656000,Daire,5,1
İzmir,Karşıyaka,Bahçelievler,5+1,34,28,678000,Müstakil,1,1
Ankara,Etimesgut,Bahçelievler,1+1,111,16,1609000,Villa,1,3
Ankara,Yenimahalle,Bahçelievler,4+1,93,49,1253000,Daire,5,3
Ankara,Çankaya,Güzeltepe,3+1,97,2,1688000,Rezidans,Zemin,1
İstanbul,Bakırköy,Altıntepe,3+1,133,9,2635000,Daire,5,2
İstanbul,Bakırköy,Merkez,2+1,86,10,1635000,Müstakil,4,1
İzmir,Bornova,Güzeltepe,5+1,71,49,1118000,Daire,Çatı,2
Ankara,Çankaya,Bahçelievler,5+1,119,47,1339000,Villa,4,3
İstanbul,Kadıköy,Merkez,2+1,106,2,1936000,Müstakil,5,3
İstanbul,Üsküdar,Güzeltepe,3+1,104,44,1662000,Müstakil,3,3
İzmir,Karşıyaka,Altıntepe,5+1,120,44,2144000,Daire,3,1
İzmir,Karşıyaka,Güzeltepe,1+1,93,37,1699000,Daire,1,1
İstanbul,Üsküdar,Bahçelievler,5+1,133,8,2370000,Müstakil,2,3
Ankara,Yenimahalle,Yeşilbahçe,2+1,64,18,1193000,Daire,5,3
İstanbul,Beşiktaş,Altıntepe,3+1,113,23,1885000,Rezidans,5,2
Ankara,Çankaya,Güzeltepe,3+1,126,28,1765000,Daire,5,1
Ankara,Çankaya,Güzeltepe,2+1,94,32,1862000,Daire,Çatı,2
İzmir,Konak,Yeşilbahçe,3+1,90,35,1608000,Daire,2,1
İstanbul,Beşiktaş,Yeşilbahçe,1+1,68,0,1642000,Rezidans,2,3
Ankara,Keçiören,Yeşilbahçe,3+1,55,20,921000,Villa,5,1
Ankara,Çankaya,Altıntepe,1+1,149,32,2557000,Villa,2,2
İstanbul,Kadıköy,Altıntepe,4+1,76,9,1097000,Villa,1,1
İzmir,Buca,Merkez,2+1,157,31,2981000,Daire,4,2
Ankara,Yenimahalle,Yeşilbahçe,4+1,123,19,2091000,Rezidans,5,1
Ankara,Keçiören,Merkez,4+1,101,44,1811000,Rezidans,4,3
İstanbul,Beşiktaş,Bahçelievler,5+1,84,9,1207000,Daire,Zemin,2
İzmir,Konak,Altıntepe,4+1,165,33,2933000,Daire,Çatı,3
İstanbul,Kadıköy,Altıntepe,5+1,132,35,2494000,Villa,Zemin,2
İzmir,Buca,Bahçelievler,2+1,95,10,2106000,Müstakil,Çatı,3
Ankara,Çankaya,Yeşilbahçe,1+1,86,6,1262000,Daire,2,1
Ankara,Yenimahalle,Bahçelievler,1+1,145,12,2700000,Villa,2,3
Ankara,Yenimahalle,Merkez,2+1,96,21,1618000,Villa,3,3
İzmir,Karşıyaka,Bahçelievler,2+1,106,43,1860000,Rezidans,Zemin,1
İstanbul,Kadıköy,Altıntepe,3+1,131,9,2541000,Müstakil,1,1
İstanbul,Bakırköy,Güzeltepe,5+1,93,38,1187000,Daire,4,1
İzmir,Bornova,Güzeltepe,5+1,123,2,2873000,Rezidans,5,2
Ankara,Yenimahalle,Merkez,3+1,65,35,1227000,Daire,1,2
İzmir,Karşıyaka,Merkez,2+1,154,13,2369000,Rezidans,1,3
İstanbul,Kadıköy,Yeşilbahçe,5+1,105,27,1360000,Villa,Zemin,3
Ankara,Çankaya,Bahçelievler,5+1,110,22,2341000,Müstakil,Çatı,3
İstanbul,Bakırköy,Yeşilbahçe,2+1,75,46,1260000,Villa,5,1
İzmir,Bornova,Bahçelievler,3+1,116,28,1955000,Daire,1,1
Ankara,Yenimahalle,Yeşilbahçe,4+1,153,34,2408000,Rezidans,1,2
İstanbul,Bakırköy,Bahçelievler,4+1,76,24,1013000,Daire,3,2
Ankara,Çankaya,Bahçelievler,3+1,64,39,748000,Rezidans,Zemin,2
İzmir,Konak,Bahçelievler,3+1,64,43,878000,Müstakil,Çatı,2
Ankara,Keçiören,Merkez,3+1,123,26,2153000,Daire,Zemin,2
İstanbul,Kadıköy,Bahçelievler,4+1,87,19,1535000,Daire,Çatı,3
İzmir,Buca,Altıntepe,3+1,120,36,2347000,Daire,1,2
İstanbul,Beşiktaş,Yeşilbahçe,5+1,87,28,1401000,Müstakil,4,2
İstanbul,Beşiktaş,Merkez,4+1,107,16,2133000,Rezidans,Zemin,1
Ankara,Yenimahalle,Güzeltepe,3+1,56,10,1259000,Rezidans,1,3
İzmir,Buca,Yeşilbahçe,2+1,118,8,1779000,Villa,1,2
Ankara,Çankaya,Bahçelievler,4+1,144,1,2680000,Müstakil,1,2
Ankara,Keçiören,Altıntepe,5+1,172,16,3474000,Daire,Zemin,1
İstanbul,Beşiktaş,Güzeltepe,5+1,72,6,1403000,Daire,4,1
İstanbul,Kadıköy,Yeşilbahçe,1+1,82,8,1300000,Villa,3,1
İzmir,Buca,Bahçelievler,2+1,77,22,1319000,Villa,3,3
İstanbul,Üsküdar,Yeşilbahçe,3+1,117,11,1644000,Müstakil,5,3
Ankara,Yenimahalle,Bahçelievler,1+1,52,29,683000,Müstakil,1,3
Ankara,Yenimahalle,Bahçelievler,1+1,43,6,673000,Rezidans,Çatı,2
İzmir,Bornova,Altıntepe,2+1,111,6,2521000,Rezidans,4,1
Ankara,Yenimahalle,Bahçelievler,3+1,105,29,2117000,Villa,5,3
Ankara,Keçiören,Merkez,3+1,109,16,2057000,Müstakil,5,2
Ankara,Etimesgut,Altıntepe,1+1,51,26,965000,Rezidans,4,3
İzmir,Buca,Bahçelievler,1+1,121,28,1772000,Villa,4,1
İstanbul,Üsküdar,Bahçelievler,4+1,124,34,1875000,Rezidans,5,1
Ankara,Yenimahalle,Merkez,2+1,100,4,2047000,Müstakil,3,1
İstanbul,Beşiktaş,Güzeltepe,1+1,101,7,1687000,Daire,1,3
İstanbul,Kadıköy,Yeşilbahçe,2+1,159,8,2291000,Daire,1,2
İzmir,Buca,Yeşilbahçe,4+1,33,49,511000,Müstakil,Çatı,1
İzmir,Konak,Güzeltepe,3+1,85,9,1477000,Rezidans,1,2
İstanbul,Üsküdar,Altıntepe,5+1,96,24,1356000,Müstakil,3,3
İstanbul,Üsküdar,Merkez,4+1,79,30,1367000,Daire,4,2
Ankara,Yenimahalle,Güzeltepe,1+1,135,22,2046000,Daire,Zemin,2
İzmir,Konak,Güzeltepe,2+1,96,23,1308000,Müstakil,5,2
İstanbul,Üsküdar,Merkez,5+1,121,10,2063000,Rezidans,Zemin,1
Ankara,Yenimahalle,Güzeltepe,3+1,137,47,2277000,Daire,2,3
İstanbul,Üsküdar,Altıntepe,3+1,110,37,2130000,Müstakil,1,1
Ankara,Çankaya,Merkez,2+1,87,5,1464000,Villa,1,1
Ankara,Keçiören,Merkez,4+1,89,35,1299000,Daire,1,1
Ankara,Etimesgut,Altıntepe,2+1,66,49,976000,Daire,2,2
Ankara,Yenimahalle,Altıntepe,1+1,134,16,1928000,Rezidans,5,1
Ankara,Yenimahalle,Merkez,2+1,106,17,2100000,Müstakil,1,2
Ankara,Keçiören,Yeşilbahçe,3+1,57,37,811000,Villa,1,3
Ankara,Çankaya,Yeşilbahçe,1+1,67,12,945000,Daire,4,1
İstanbul,Beşiktaş,Altıntepe,2+1,116,34,1692000,Daire,2,2
İzmir,Konak,Merkez,1+1,55,27,1093000,Müstakil,2,3
İstanbul,Bakırköy,Yeşilbahçe,4+1,63,19,1198000,Rezidans,1,1
İzmir,Konak,Yeşilbahçe,1+1,106,46,1299000,Villa,5,2
Ankara,Etimesgut,Güzeltepe,3+1,110,5,2238000,Villa,Zemin,2
İstanbul,Beşiktaş,Merkez,5+1,149,13,2722000,Müstakil,Çatı,2
İzmir,Karşıyaka,Yeşilbahçe,3+1,110,42,1622000,Müstakil,1,3
Ankara,Yenimahalle,Güzeltepe,5+1,145,46,2583000,Villa,Zemin,2
İzmir,Karşıyaka,Altıntepe,2+1,79,36,1183000,Daire,Zemin,1
İstanbul,Beşiktaş,Yeşilbahçe,1+1,109,27,1556000,Daire,5,3
Ankara,Etimesgut,Güzeltepe,4+1,84,19,1753000,Rezidans,Çatı,1
İstanbul,Bakırköy,Yeşilbahçe,5+1,75,28,1468000,Rezidans,Çatı,3
İzmir,Bornova,Altıntepe,4+1,126,4,2613000,Müstakil,3,3
Ankara,Keçiören,Altıntepe,4+1,130,0,2650000,Rezidans,2,1
İstanbul,Bakırköy,Merkez,4+1,125,0,2675000,Daire,1,2
Ankara,Keçiören,Altıntepe,2+1,86,47,1034000,Müstakil,5,3
İzmir,Konak,Bahçelievler,2+1,113,46,2003000,Daire,Zemin,1
İstanbul,Bakırköy,Merkez,2+1,105,6,1635000,Villa,Çatı,2
İzmir,Bornova,Güzeltepe,1+1,134,40,2292000,Villa,Zemin,2
İzmir,Buca,Merkez,5+1,111,42,1293000,Daire,Çatı,3
İstanbul,Üsküdar,Yeşilbahçe,3+1,53,45,754000,Daire,3,1
İzmir,Karşıyaka,Altıntepe,5+1,129,40,1514000,Rezidans,5,1
İzmir,Buca,Güzeltepe,5+1,100,22,1339000,Villa,2,3
İzmir,Buca,Merkez,5+1,125,39,1733000,Müstakil,5,1
İstanbul,Bakırköy,Merkez,3+1,106,9,1714000,Villa,2,2
İzmir,Karşıyaka,Güzeltepe,2+1,77,37,921000,Rezidans,3,2
İzmir,Bornova,Yeşilbahçe,5+1,57,13,1114000,Rezidans,1,3
İstanbul,Beşiktaş,Yeşilbahçe,2+1,116,7,1674000,Daire,Çatı,1
Ankara,Çankaya,Altıntepe,3+1,89,22,1371000,Müstakil,2,1
Ankara,Yenimahalle,Altıntepe,3+1,96,18,1854000,Müstakil,4,1
İzmir,Karşıyaka,Yeşilbahçe,5+1,125,48,1780000,Rezidans,4,1
İzmir,Bornova,Güzeltepe,2+1,72,27,1460000,Müstakil,4,2
İstanbul,Bakırköy,Merkez,5+1,150,25,2475000,Villa,3,1
İstanbul,Üsküdar,Altıntepe,5+1,70,37,1329000,Rezidans,4,1
İstanbul,Beşiktaş,Altıntepe,3+1,142,45,2114000,Daire,4,3
İzmir,Bornova,Güzeltepe,5+1,139,47,2311000,Villa,Çatı,3
İzmir,Konak,Merkez,5+1,59,16,821000,Müstakil,Zemin,1
Ankara,Çankaya,Bahçelievler,2+1,79,18,1341000,Rezidans,3,1
Ankara,Etimesgut,Yeşilbahçe,5+1,86,11,1554000,Villa,3,2
İstanbul,Beşiktaş,Merkez,1+1,93,23,1774000,Daire,Zemin,1
İzmir,Karşıyaka,Bahçelievler,2+1,119,29,1710000,Rezidans,3,3
İzmir,Konak,Bahçelievler,5+1,101,8,2249000,Daire,1,3
İzmir,Bornova,Güzeltepe,5+1,144,33,2173000,Villa,3,1
İzmir,Bornova,Merkez,2+1,99,39,1487000,Daire,5,1
Ankara,Yenimahalle,Bahçelievler,1+1,118,22,1718000,Daire,2,2
İzmir,Konak,Yeşilbahçe,3+1,114,38,1525000,Villa,4,2
İzmir,Konak,Yeşilbahçe,3+1,110,25,1513000,Rezidans,Zemin,2
İzmir,Buca,Bahçelievler,3+1,100,2,2013000,Villa,Zemin,3
Ankara,Keçiören,Yeşilbahçe,3+1,102,38,1200000,Villa,Zemin,2
Ankara,Yenimahalle,Bahçelievler,2+1,130,46,1893000,Rezidans,1,3
Ankara,Keçiören,Altıntepe,1+1,73,24,1266000,Villa,Zemin,1
İzmir,Karşıyaka,Altıntepe,2+1,116,48,1360000,Daire,1,2
İzmir,Konak,Merkez,4+1,42,14,601000,Villa,Zemin,3
İzmir,Karşıyaka,Yeşilbahçe,2+1,128,20,2334000,Villa,1,2
Ankara,Keçiören,Yeşilbahçe,4+1,83,34,1631000,Daire,4,3
İzmir,Bornova,Altıntepe,4+1,39,4,655000,Müstakil,Zemin,2
İzmir,Buca,Merkez,5+1,88,8,1865000,Müstakil,2,1
Ankara,Çankaya,Merkez,3+1,106,31,1770000,Müstakil,4,3
İstanbul,Kadıköy,Yeşilbahçe,1+1,112,45,1364000,Müstakil,Zemin,2
İstanbul,Üsküdar,Merkez,3+1,135,27,2445000,Müstakil,Çatı,2
İstanbul,Kadıköy,Güzeltepe,1+1,110,46,1210000,Villa,Zemin,3
İstanbul,Kadıköy,Altıntepe,2+1,79,26,1325000,Villa,Çatı,3
Ankara,Yenimahalle,Yeşilbahçe,4+1,66,0,1047000,Daire,2,2
İstanbul,Beşiktaş,Güzeltepe,3+1,121,17,2507000,Villa,1,1
İstanbul,Üsküdar,Altıntepe,3+1,128,43,1899000,Daire,5,2
Ankara,Etimesgut,Yeşilbahçe,1+1,147,11,2344000,Müstakil,4,1
İzmir,Bornova,Bahçelievler,5+1,108,38,1710000,Müstakil,Zemin,1
İstanbul,Kadıköy,Güzeltepe,3+1,117,19,1976000,Rezidans,4,1
İstanbul,Beşiktaş,Yeşilbahçe,5+1,101,7,1466000,Rezidans,3,3
İstanbul,Bakırköy,Altıntepe,4+1,75,8,1208000,Müstakil,3,2
İzmir,Konak,Güzeltepe,1+1,93,14,1846000,Rezidans,Zemin,2
Ankara,Etimesgut,Merkez,4+1,105,24,1718000,Müstakil,4,3
İstanbul,Bakırköy,Yeşilbahçe,5+1,143,17,2285000,Villa,Çatı,1
İzmir,Karşıyaka,Bahçelievler,3+1,59,28,1012000,Villa,2,1
İzmir,Karşıyaka,Güzeltepe,3+1,112,25,2351000,Rezidans,Zemin,2
Ankara,Çankaya,Bahçelievler,3+1,112,45,1418000,Rezidans,3,1
İzmir,Buca,Yeşilbahçe,3+1,161,44,2214000,Villa,2,3
İstanbul,Üsküdar,Güzeltepe,2+1,128,45,1986000,Müstakil,5,1
Ankara,Yenimahalle,Altıntepe,1+1,89,7,1889000,Müstakil,Çatı,2
İzmir,Bornova,Yeşilbahçe,2+1,95,1,1671000,Villa,3,3
İstanbul,Üsküdar,Merkez,3+1,123,20,1865000,Daire,Çatı,3
İstanbul,Beşiktaş,Yeşilbahçe,2+1,93,6,2236000,Müstakil,5,3
İstanbul,Bakırköy,Güzeltepe,4+1,117,44,1658000,Müstakil,2,3
Ankara,Çankaya,Yeşilbahçe,4+1,56,14,1036000,Müstakil,Çatı,3
İstanbul,Üsküdar,Yeşilbahçe,3+1,126,49,2199000,Müstakil,4,1
İzmir,Karşıyaka,Merkez,5+1,117,7,2500000,Villa,1,1
İzmir,Bornova,Güzeltepe,2+1,93,3,1701000,Daire,4,1
İstanbul,Bakırköy,Yeşilbahçe,3+1,132,8,2360000,Müstakil,3,2
İzmir,Konak,Altıntepe,2+1,123,37,1939000,Müstakil,5,3
İzmir,Konak,Bahçelievler,2+1,119,20,2072000,Villa,Çatı,2
İstanbul,Kadıköy,Yeşilbahçe,1+1,82,25,1161000,Müstakil,3,3
Ankara,Çankaya,Güzeltepe,5+1,89,0,2127000,Daire,2,1
